                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.814,                 9.7632,                 3.9045,                0.51821,                0.00738,                0.00095,                0.00032,                 3.8605,                 7.8342,                  3.219,             0.00055142,             0.00055142,             0.00055142
                      2,                 3.3519,                 5.4779,                 2.7535,                0.58953,                0.08689,                0.03751,                0.01001,                  3.042,                 5.5208,                 2.5719,             0.00055908,             0.00055908,             0.00055908
